epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2098.5,0.42209,0.36918,0.83465,0.99685,0.99621,0.99458,0.97923,0.23436,0.19292,0.78589,0.000351734,0.000351734,0.000351734
43,2152.03,0.42033,0.36778,0.83239,0.99713,0.99743,0.99468,0.9824,0.22537,0.19068,0.78491,0.000342899,0.000342899,0.000342899
44,2205.49,0.41498,0.36071,0.83168,0.99775,0.99687,0.99453,0.98261,0.22194,0.18668,0.78399,0.000334063,0.000334063,0.000334063
45,2253.51,0.41922,0.36123,0.8312,0.99769,0.99695,0.99459,0.9838,0.21663,0.18311,0.78384,0.000325227,0.000325227,0.000325227
46,2306.02,0.41543,0.35728,0.83084,0.99743,0.99661,0.9946,0.98201,0.22429,0.18498,0.78496,0.000316391,0.000316391,0.000316391
47,2359.02,0.4123,0.35771,0.82978,0.99726,0.99723,0.99471,0.98422,0.21723,0.1838,0.78342,0.000307555,0.000307555,0.000307555
48,2410.9,0.40828,0.35115,0.82923,0.99731,0.99771,0.99463,0.98486,0.21613,0.18149,0.78362,0.00029872,0.00029872,0.00029872
49,2462.34,0.40973,0.35085,0.82891,0.99719,0.99741,0.99459,0.98339,0.22023,0.18196,0.7841,0.000289884,0.000289884,0.000289884
50,2514.53,0.40496,0.34697,0.82859,0.99766,0.99742,0.99472,0.98414,0.21393,0.17791,0.78316,0.000281048,0.000281048,0.000281048
51,2566.42,0.40705,0.34933,0.82901,0.9975,0.99747,0.99466,0.98536,0.21239,0.17919,0.78302,0.000272212,0.000272212,0.000272212
52,2614.12,0.40499,0.3467,0.82777,0.99719,0.9975,0.99481,0.98529,0.21079,0.17409,0.78242,0.000263377,0.000263377,0.000263377
53,2668.77,0.40251,0.34357,0.8275,0.99762,0.99689,0.99466,0.98494,0.21367,0.17716,0.78308,0.000254541,0.000254541,0.000254541
54,2716.54,0.39989,0.34123,0.8249,0.99751,0.99722,0.99469,0.98432,0.2126,0.17297,0.78305,0.000245705,0.000245705,0.000245705
55,2769.94,0.40363,0.34101,0.82549,0.99774,0.99739,0.99464,0.98519,0.21048,0.17299,0.78234,0.000236869,0.000236869,0.000236869
56,2823.76,0.39992,0.34048,0.82581,0.99737,0.99788,0.9947,0.98481,0.21061,0.17147,0.78264,0.000228034,0.000228034,0.000228034
57,2874.17,0.39594,0.33843,0.82652,0.99801,0.99726,0.99469,0.98453,0.21221,0.1702,0.78261,0.000219198,0.000219198,0.000219198
58,2925.36,0.39926,0.3397,0.82583,0.9975,0.99714,0.99462,0.985,0.21158,0.17086,0.78264,0.000210362,0.000210362,0.000210362
59,2976.46,0.39811,0.33503,0.82599,0.99719,0.99788,0.99477,0.98412,0.21322,0.1688,0.78263,0.000201527,0.000201527,0.000201527
60,3027.31,0.39386,0.33418,0.82435,0.99768,0.99734,0.99473,0.98514,0.20848,0.16934,0.78207,0.000192691,0.000192691,0.000192691
61,3076.18,0.39392,0.3308,0.82403,0.99801,0.99762,0.99476,0.98574,0.20774,0.16638,0.78181,0.000183855,0.000183855,0.000183855
62,3129.88,0.39274,0.33089,0.82489,0.99744,0.99779,0.9945,0.98503,0.21055,0.16643,0.78226,0.000175019,0.000175019,0.000175019
63,3177.35,0.39311,0.33269,0.82494,0.99772,0.99773,0.99472,0.98518,0.20861,0.16537,0.78236,0.000166183,0.000166183,0.000166183
64,3229.57,0.38912,0.32706,0.82318,0.99767,0.99752,0.99472,0.98597,0.20743,0.16369,0.78179,0.000157348,0.000157348,0.000157348
65,3281.52,0.39,0.32621,0.82209,0.99825,0.99708,0.99469,0.98521,0.20892,0.16343,0.78162,0.000148512,0.000148512,0.000148512
66,3332.2,0.38684,0.32429,0.82179,0.99759,0.99787,0.99483,0.98574,0.20805,0.1625,0.78174,0.000139676,0.000139676,0.000139676
67,3381.93,0.38796,0.32466,0.82233,0.99802,0.99758,0.99473,0.9862,0.2043,0.16027,0.78149,0.000130841,0.000130841,0.000130841
68,3433.55,0.38955,0.32326,0.82266,0.99748,0.99777,0.99459,0.9863,0.20523,0.16097,0.78149,0.000122005,0.000122005,0.000122005
69,3481.66,0.3843,0.32309,0.82268,0.99809,0.99771,0.99471,0.98729,0.20087,0.15747,0.78135,0.000113169,0.000113169,0.000113169
70,3536.48,0.38311,0.31941,0.82251,0.99771,0.9978,0.99479,0.98724,0.20172,0.15789,0.78165,0.000104333,0.000104333,0.000104333
71,3583.66,0.35438,0.27272,0.81069,0.99821,0.99732,0.99457,0.9852,0.2097,0.16257,0.7812,9.54975e-05,9.54975e-05,9.54975e-05
72,3635.75,0.34598,0.26292,0.80738,0.99825,0.99748,0.99472,0.98689,0.20366,0.15865,0.78099,8.66618e-05,8.66618e-05,8.66618e-05
73,3681.17,0.34324,0.26126,0.80692,0.99814,0.99761,0.99474,0.98764,0.19984,0.15605,0.78053,7.7826e-05,7.7826e-05,7.7826e-05
74,3727.58,0.33958,0.25809,0.80799,0.99786,0.99778,0.99469,0.98733,0.19988,0.15551,0.78071,6.89903e-05,6.89903e-05,6.89903e-05
75,3778.38,0.33791,0.25774,0.80689,0.99802,0.99758,0.99461,0.9868,0.20209,0.15528,0.78068,6.01545e-05,6.01545e-05,6.01545e-05
76,3824.97,0.33701,0.25612,0.80854,0.99797,0.99769,0.99459,0.98767,0.19817,0.15375,0.78059,5.13187e-05,5.13187e-05,5.13187e-05
77,3870.77,0.33635,0.25236,0.80671,0.99791,0.99779,0.99464,0.98795,0.1965,0.15229,0.78042,4.2483e-05,4.2483e-05,4.2483e-05
78,3920.51,0.33398,0.25153,0.80641,0.99818,0.99732,0.99466,0.98787,0.19681,0.15147,0.78032,3.36472e-05,3.36472e-05,3.36472e-05
79,3968,0.33289,0.25224,0.80561,0.99788,0.99778,0.9947,0.98764,0.19688,0.15121,0.78043,2.48115e-05,2.48115e-05,2.48115e-05
80,4012.97,0.33126,0.24999,0.80503,0.99814,0.99752,0.9947,0.98822,0.19499,0.15033,0.78017,1.59757e-05,1.59757e-05,1.59757e-05
